airport_code,airport_lat,airport_lng,city_Eng,city,airport,airport
DDG,40.025551,124.286598,Dandong,丹东,浪头,丹东浪头
LYI,35.046112,118.411667,Linyi,临沂,沐埠岭,临沂沐埠岭
LZO,29.030001,105.470001,Luzhou,泸州,蓝田,泸州蓝田
WMT,27.59,106.999725,Zunyi,遵义,遵义,遵义遵义
BSD,25.055182,99.16143,Baoshan,保山,云端,保山云端
JJN,24.794776,118.593069,Quanzhou,泉州,晋江,泉州晋江
WEH,37.185852,122.234969,Weihai,威海,大水泊,威海大水泊
UYN,38.358264,109.599254,Yulin,榆林,榆阳,榆林榆阳
KHG,39.541251,76.024599,Kashgar,喀什,喀什,喀什喀什
HUZ,23.0497,114.607144,Huizhou,惠州,平潭,惠州平潭
DLU,25.647097,100.320711,Dali,大理,大理,大理大理
KRL,41.618911,86.138043,Korla,库尔勒,库尔勒,库尔勒库尔勒
CIF,42.159704,118.846745,Chifeng,赤峰,玉龙,赤峰玉龙
LZH,24.204142,109.398889,Liuzhou,柳州,白莲,柳州白莲
YIN,43.957321,81.33329,Yining,伊宁,伊宁,伊宁伊宁
AKU,41.263252,80.293103,Aksu,阿克苏,温宿,阿克苏温宿
TEN,27.882209,109.3144,Tongren,铜仁,凤凰,铜仁凤凰
JNG,35.29364,116.353255,Jining,济宁,曲阜,济宁曲阜
HTN,37.038007,79.868983,Hotan,和田,和田,和田和田
HSN,29.932602,122.364994,Zhoushan,舟山,普陀山,舟山普陀山
ACX,25.082371,104.962212,Xingyi,兴义,兴义,兴义兴义
DAT,40.062064,113.486564,Datong,大同,云冈,大同云冈
YBP,28.797781,104.550293,Yibin,宜宾,菜坝,宜宾菜坝
NAO,30.793442,106.168002,Nanchong,南充,高坪,南充高坪
RIZ,35.402879,119.331808,Rizhao,日照,山字河,日照山字河
FUG,32.879154,115.740674,Fuyang,阜阳,阜阳,阜阳阜阳
TXN,29.730427,118.261088,Huangshan,黄山,屯溪,黄山屯溪
DNH,40.163706,94.807859,Dunhuang,敦煌,敦煌,敦煌敦煌
HLH,46.200408,122.007318,Ulanhot,乌兰浩特,义勒力特,乌兰浩特义勒力特
WEF,36.646822,119.122362,Weifang,潍坊,潍坊,潍坊潍坊
DOY,37.503772,118.79283,Dongying,东营,胜利,东营胜利
CIH,36.247454,113.131759,Changzhi,长治,王村,长治王村
XIC,27.983669,102.186692,Xichang,西昌,青山,西昌青山
WUS,27.698972,118.004959,Wuyishan,武夷山,武夷山,武夷山武夷山
XIL,43.913873,115.966246,Xilinhot,锡林浩特,锡林浩特,锡林浩特锡林浩特
KRY,45.46725,84.956487,Karamay,克拉玛依,克拉玛依,克拉玛依克拉玛依
TVS,39.720066,118.006926,Tangshan,唐山,三女河,唐山三女河
JGN,39.861578,98.341392,Jiayuguan,嘉峪关,嘉峪关,嘉峪关嘉峪关
BAR,19.139692,110.457703,Qionghai,琼海,博鳌,琼海博鳌
NBS,42.071926,127.609218,Baishan,白山,长白山,白山长白山
JDZ,29.336129,117.181706,Jingdezhen,景德镇,罗家,景德镇罗家
HJJ,27.442036,109.709861,Huaihua,怀化,芷江,怀化芷江
HZG,33.131684,107.207614,Hanzhong,汉中,城固,汉中城固
WUA,39.794299,106.805038,wuhai,乌海,乌海,乌海乌海
AQG,30.580776,117.055412,Anqing,安庆,安庆,安庆安庆
WGN,26.801329,110.645745,Shaoyang,邵阳,武冈,邵阳武冈
JUH,30.738176,117.690942,Chizhou,池州,九华山,池州九华山
AVA,26.25699,105.8774,Anshun,安顺,黄果树,安顺黄果树
LNJ,23.736707,100.02549,Lincang,临沧,临沧,临沧临沧
LPF,26.602572,104.972842,Liupanshui,六盘水,月照,六盘水月照
NZH,49.569633,117.337784,Manzhouli,满洲里,西郊,满洲里西郊
IQN,35.802506,107.604593,Qingyang,庆阳,庆阳,庆阳庆阳
SHP,39.667458,119.067308,Qinhuangdao,秦皇岛,北戴河,秦皇岛北戴河
NDG,47.24241,123.924645,Qiqihar,齐齐哈尔,三家子,齐齐哈尔三家子
HMI,42.843005,93.664048,Hami,哈密,哈密,哈密哈密
UCB,41.127163,113.117591,Ulanqab,乌兰察布,集宁,乌兰察布集宁
ZQZ,40.74646,114.955452,Zhangjiakou,张家口,宁远,张家口宁远
PZI,26.534456,101.799265,Panzhihua,攀枝花,保安营,攀枝花保安营
SQD,28.376586,117.968625,Shangrao,上饶,三清山,上饶三清山
RLK,40.927157,107.744545,Bayannur,巴彦淖尔,天吉泰,巴彦淖尔天吉泰
ZAT,27.323463,103.757591,Zhaotong,昭通,昭通,昭通昭通
TCG,46.67251,83.346901,Tacheng,塔城,塔城,塔城塔城
AOG,41.106456,122.860605,Anshan,鞍山,腾鳌,鞍山腾鳌
GYS,32.388634,105.699621,Guangyuan,广元,盘龙,广元盘龙
JUZ,28.962971,118.901832,Quzhou,衢州,衢州,衢州衢州
ZHY,37.573264,105.158118,Zhongwei,中卫,香山,中卫香山
DCY,29.312192,100.063381,Daocheng,稻城,亚丁,稻城亚丁
JMJ,22.41192,99.789519,Lancang,澜沧,景迈,澜沧景迈
GYU,36.078195,106.222016,Guyuan,固原,六盘山,固原六盘山
JXA,45.296389,131.199125,Jixi,鸡西,兴凯湖,鸡西兴凯湖
QSZ,38.245878,77.062712,Shache,莎车,莎车,莎车莎车
ERL,43.426714,112.099704,Erenhot,二连浩特,赛乌素,二连浩特赛乌素
SQJ,26.422368,117.840008,Sanming,三明,沙县,三明沙县
LLB,25.447687,107.966151,Libo,黔南州,荔波,黔南州荔波
HEK,50.179364,127.320183,Heihe,黑河,黑河,黑河黑河
AEB,23.718051,106.964852,Baise,百色,巴马,百色巴马
THQ,34.558077,105.864711,Tianshui,天水,麦积山,天水麦积山
YZY,38.805064,100.671783,Zhangye,张掖,甘州,张掖甘州
JIC,38.541918,102.35054,Jinchang,金昌,金川,金昌金川
CHG,41.541983,120.44019,Chaoyang,朝阳,朝阳,朝阳朝阳
SHF,44.243677,85.895281,Shihezi,石河子,花园,石河子花园
BPL,44.898289,82.303693,Bole,博乐,阿拉山口,博乐阿拉山口
CWJ,23.264479,99.367726,cangyuan,沧源,佤山,沧源佤山
WNH,23.556375,104.328079,Wenshan,文山,普者黑,文山普者黑
LNL,33.787803,105.795013,Longnan,陇南,成县,陇南成县
KJH,26.972769,107.990529,Kaili,凯里,黄平,凯里黄平
GMQ,34.419851,100.302977,Golog,果洛,果洛,果洛果洛
TNH,42.032771,125.790631,Tonghua,通化,三源浦,通化三源浦
FUO,23.080913,113.075983,Foshan,佛山,沙堤,佛山沙堤
YIE,46.200408,122.007318,Arxan,阿尔山,伊尔施,阿尔山伊尔施
XAI,32.539168,114.083454,Xinyang,信阳,明港,信阳明港
OHE,52.918043,122.432117,Mohe,漠河,古莲,漠河古莲
FYJ,48.206004,134.371681,Fuyuan,抚远,东极,抚远东极
HZH,26.318645,109.155032,Liping,黎平,黎平,黎平黎平
HPG,31.635114,110.344673,Shennongjia,神农架,红坪,神农架红坪
WUZ,23.454392,111.253453,Wuzhou,梧州,长州岛,梧州长州岛
SHP,39.667458,119.067308,Qinhuangdao,秦皇岛,山海关,秦皇岛山海关
JIU,29.475421,115.806015,Jiujiang,九江,庐山,九江庐山
XIY,34.438157,108.764819,Xi'an,西安,咸阳,西安咸阳
HET,40.853503,111.826381,Hohehot,呼和浩特,白塔,呼和浩特白塔
JHG,21.972467,100.76475,Xishuangbanna,西双版纳,嘎洒,西双版纳嘎洒
MIG,31.428986,104.743592,Mianyang ,绵阳,南郊,绵阳南郊
DSN,39.495789,109.867412,Erdos,鄂尔多斯,伊金霍洛,鄂尔多斯伊金霍洛
HLD,49.209334,119.830223,Hulunbuir,呼伦贝尔,东山,呼伦贝尔东山
DYG,29.101431,110.447943,Zhangjiajie,张家界,荷花,张家界荷花
LUM,24.399322,98.532412,Dehong,德宏,芒市,德宏芒市
HIA,33.788792,119.131102,Huai'an,淮安,涟水,淮安涟水
HYN,28.559344,121.430963,Taizhou,台州,路桥,台州路桥
JMU,46.845709,130.470506,Kiamusze,佳木斯,东郊,佳木斯东郊
JGS,26.853279,114.742649,Jinggangshan,井冈山,井冈山,井冈山井冈山
SYM,22.79102,100.96042,Pu'er,普洱,思茅,普洱思茅
DIG,27.789482,99.679921,Diqing,迪庆,香格里拉,迪庆香格里拉
LZY,29.301565,94.336061,Linzhi,林芝,米林,林芝米林
AAT,47.751758,88.0869,Aletai,阿勒泰,阿勒泰,阿勒泰阿勒泰
ENY,36.475595,109.476005,Yan'an,延安,南泥湾,延安南泥湾
LLV,37.684589,111.148478,Lvliang,吕梁,大武,吕梁大武
BPX,30.548892,97.111194,Changdu,昌都,邦达,昌都邦达
KCA,41.679452,82.875522,Kuche,库车,龟兹,库车龟兹
LCX,25.673066,116.751646,Liancheng,连城,冠豸山,连城冠豸山
TLQ,43.03159,89.102437,Turfan,吐鲁番,交河,吐鲁番交河
GOQ,36.401596,94.788436,Golmud,格尔木,格尔木,格尔木格尔木
AXF,38.833507,105.668991,Alashanzuoqi,阿拉善左旗,巴彦浩特,阿拉善左旗巴彦浩特
NLH,27.540396,100.759709,Ninglang,宁蒗,泸沽湖,宁蒗泸沽湖
YSQ,44.93954,124.557144,Songyuan,松原,查干湖,松原查干湖
JGD,50.374258,124.124526,Jagdaqi,加格达奇,加格达奇,加格达奇加格达奇
NZL,47.869621,122.768601,Zalantun,扎兰屯,成吉思汗,扎兰屯成吉思汗
GXH,34.82166,102.622647,Gannan,甘南,夏河,甘南夏河
HXD,37.129769,97.266855,Haixi,海西,德令哈,海西德令哈
HUO,45.48492,119.41546,Huolinhe,霍林河,霍林河,霍林河霍林河
DBC,45.508143,123.026293,Baicheng,白城,长安,白城长安
KGT,30.140162,101.741137,Garze,甘孜,康定,甘孜康定
JSJ,47.111009,132.672883,Jiansanjiang,建三江,湿地,建三江湿地
NLT,43.433139,83.380912,Nalati,那拉提,那拉提,那拉提那拉提
RKZ,29.348303,89.313836,Xigaze,日喀则,日喀则,日喀则日喀则
HTT,37.129769,97.266855,Haixi,海西,花土沟,海西花土沟
NGQ,32.099597,80.055558,Ngari,阿里,昆莎,阿里昆莎
IQM,38.144079,85.535451,Qiemo,且末,且末,且末且末
KJI,48.222971,87.000724,Buerqin,布尔津,喀纳斯,布尔津喀纳斯
XYI,16.829044,112.34076,Sansha,三沙,永兴,三沙永兴
DTU,48.447837,126.132337,Wudalianchi,五大连池,德都,五大连池德都
RQA,38.973102,88.01569,Ruoqiang,若羌,楼兰,若羌楼兰
AHJ,32.526648,102.359218,Aba,阿坝,红原,阿坝红原
FYN,47.751758,88.0869,Fuyun,富蕴,可可托海,富蕴可可托海
HCJ,24.801072,107.715025,Hechi,河池,金城江,河池金城江
JZH,32.851353,103.685263,Jiuzhai,九寨,黄龙,九寨黄龙
EJN,42.014143,101.002862,Ejin,额济纳旗,桃来,额济纳旗桃来
HBQ,38.013309,100.651566,Qilian,祁连,祁连,祁连祁连
RHT,39.225406,101.546915,Alashanyouqi,阿拉善右旗,巴丹吉林,阿拉善右旗巴丹吉林
CNI,39.267495,122.671891,Changhai,长海,大长山岛,长海大长山岛
YYA,29.310258,113.280938,Yueyang,岳阳,三荷,岳阳三荷
TWC,39.874877,79.0841,Tumxuk,图木舒克,唐王城,图木舒克唐王城
ENY,36.475595,109.476005,Yan'an,延安,二十里堡,延安二十里堡
