departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
ACX,CSX,2017,ACXCSX2017,2,25.082371,104.96221200000001,28.196666999999998,113.22083300000001,0.15044247800000002,0.7522123890000001,156.0,0.000224735,156,0.00022470599999999997,"[25.082371, 104.96221200000001]","[28.196666999999998, 113.22083300000001]"
ACX,CSX,2018,ACXCSX2018,2,25.082371,104.96221200000001,28.196666999999998,113.22083300000001,0.07816092,0.5103448279999999,156.0,0.00011394600000000001,156,6.57e-05,"[25.082371, 104.96221200000001]","[28.196666999999998, 113.22083300000001]"
ACX,CTU,2016,ACXCTU2016,2,25.082371,104.96221200000001,30.57852,103.946999,0.130841121,0.990654206,271.0,0.000570448,274,0.000570209,"[25.082371, 104.96221200000001]","[30.57852, 103.946999]"
ACX,CTU,2017,ACXCTU2017,2,25.082371,104.96221200000001,30.57852,103.946999,0.15044247800000002,1.079646018,143.0,0.000422907,143,0.00043465800000000004,"[25.082371, 104.96221200000001]","[30.57852, 103.946999]"
ACX,CTU,2018,ACXCTU2018,2,25.082371,104.96221200000001,30.57852,103.946999,0.07816092,0.72183908,236.0,0.000208183,239,0.000126911,"[25.082371, 104.96221200000001]","[30.57852, 103.946999]"
ACX,FOC,2016,ACXFOC2016,2,25.082371,104.96221200000001,25.935060999999997,119.6632,0.130841121,0.509345794,158.0,0.00017543799999999998,157,0.00017864,"[25.082371, 104.96221200000001]","[25.935060999999997, 119.6632]"
ACX,FOC,2017,ACXFOC2017,2,25.082371,104.96221200000001,25.935060999999997,119.6632,0.15044247800000002,0.548672566,53.0,0.000137864,53,0.000144575,"[25.082371, 104.96221200000001]","[25.935060999999997, 119.6632]"
ACX,HAK,2016,ACXHAK2016,2,25.082371,104.96221200000001,19.934851000000002,110.4589,0.130841121,0.841121495,113.0,0.00031151,115,0.000312145,"[25.082371, 104.96221200000001]","[19.934851000000002, 110.4589]"
ACX,HAK,2017,ACXHAK2017,2,25.082371,104.96221200000001,19.934851000000002,110.4589,0.15044247800000002,0.805309735,53.0,0.00023757700000000002,53,0.000237549,"[25.082371, 104.96221200000001]","[19.934851000000002, 110.4589]"
ACX,JJN,2018,ACXJJN2018,2,25.082371,104.96221200000001,24.794776000000002,118.593069,0.07816092,0.20689655199999998,26.0,5.02e-05,26,2.11e-05,"[25.082371, 104.96221200000001]","[24.794776000000002, 118.593069]"
ACX,KMG,2015,ACXKMG2015,2,25.082371,104.96221200000001,25.101944,102.92916899999999,0.088669951,0.926108374,154.0,0.0006799439999999999,164,0.000671516,"[25.082371, 104.96221200000001]","[25.101944, 102.92916899999999]"
ACX,KMG,2016,ACXKMG2016,2,25.082371,104.96221200000001,25.101944,102.92916899999999,0.130841121,1.037383178,283.0,0.000497675,292,0.000497766,"[25.082371, 104.96221200000001]","[25.101944, 102.92916899999999]"
