departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,airline_centrality,year
KHG,URC,5998,39.541251,76.024599,43.907101,87.474243,0.078817734,0.472906404,0.000711236,2015
URC,KHG,5976,43.907101,87.474243,39.541251,76.024599,0.472906404,0.078817734,0.000960959,2015
URC,XIY,5919,43.907101,87.474243,34.438157,108.764819,0.472906404,1.024630542,0.002753323,2015
CTU,PVG,5914,30.57852,103.946999,31.14337,121.805199,1.004926108,1.004926108,0.001111856,2015
PVG,HRB,5913,31.14337,121.805199,45.623402,126.250298,1.004926108,0.669950739,0.001076145,2015
PVG,CTU,5861,31.14337,121.805199,30.57852,103.946999,1.004926108,1.004926108,0.001352167,2015
HRB,PVG,5770,45.623402,126.250298,31.14337,121.805199,0.669950739,1.004926108,0.001007719,2015
HAK,CAN,5758,19.934851,110.4589,23.392429,113.298698,0.753694581,1.064039409,0.000325559,2015
CAN,HAK,5744,23.392429,113.298698,19.934851,110.4589,1.064039409,0.753694581,0.000355561,2015
XIY,URC,5738,34.438157,108.764819,43.907101,87.474243,1.024630542,0.472906404,0.002448764,2015
XIY,KMG,5694,34.438157,108.764819,25.101944,102.929169,1.024630542,0.926108374,0.001333233,2015
XIY,SZX,5574,34.438157,108.764819,22.63925,113.8106,1.024630542,0.980295567,0.000589045,2015
LJG,KMG,5517,26.683332,100.25,25.101944,102.929169,0.305418719,0.926108374,0.000285409,2015
PEK,XMN,5508,40.084152,116.592735,24.544029,118.127701,1.295566502,0.719211823,0.00036426,2015
PEK,URC,5507,40.084152,116.592735,43.907101,87.474243,1.295566502,0.472906404,0.003691063,2015
XMN,PEK,5505,24.544029,118.127701,40.084152,116.592735,0.719211823,1.295566502,0.00037125,2015
LUM,KMG,5499,24.399322,98.532412,25.101944,102.929169,0.049261084,0.926108374,0.00086672,2015
WUH,PEK,5495,30.783751,114.208099,40.084152,116.592735,0.566502463,1.295566502,0.000441427,2015
PEK,WUH,5488,40.084152,116.592735,30.783751,114.208099,1.295566502,0.566502463,0.000459737,2015
URC,PEK,5468,43.907101,87.474243,40.084152,116.592735,0.472906404,1.295566502,0.004008879,2015
SZX,XIY,5444,22.63925,113.8106,34.438157,108.764819,0.980295567,1.024630542,0.000659067,2015
PVG,CGQ,5436,31.14337,121.805199,43.996208,125.685303,1.004926108,0.42364532,0.000282203,2015
CGQ,PVG,5428,43.996208,125.685303,31.14337,121.805199,0.42364532,1.004926108,0.000260902,2015
KMG,SZX,5387,25.101944,102.929169,22.63925,113.8106,0.926108374,0.980295567,0.000741289,2015
KMG,LUM,5347,25.101944,102.929169,24.399322,98.532412,0.926108374,0.049261084,0.000975298,2015
XIY,HGH,5323,34.438157,108.764819,30.2295,120.434402,1.024630542,0.866995074,0.000506991,2015
HGH,XIY,5305,30.2295,120.434402,34.438157,108.764819,0.866995074,1.024630542,0.0005705,2015
UYN,XIY,5249,38.358264,109.599254,34.438157,108.764819,0.157635468,1.024630542,0.000557605,2015
PEK,CSX,5213,40.084152,116.592735,28.196667,113.220833,1.295566502,0.743842365,0.000403479,2015
CSX,PEK,5203,28.196667,113.220833,40.084152,116.592735,0.743842365,1.295566502,0.000396316,2015
XIY,UYN,5151,34.438157,108.764819,38.358264,109.599254,1.024630542,0.157635468,0.000536814,2015
SZX,NKG,5086,22.63925,113.8106,31.742041,118.862,0.980295567,0.566502463,0.000222319,2015
NKG,SZX,5085,31.742041,118.862,22.63925,113.8106,0.566502463,0.980295567,0.00022909,2015
TAO,PEK,5081,36.266102,120.374397,40.084152,116.592735,0.60591133,1.295566502,0.000334027,2015
PVG,CKG,5046,31.14337,121.805199,29.71921,106.641602,1.004926108,0.985221675,0.001154248,2015
PEK,TAO,5020,40.084152,116.592735,36.266102,120.374397,1.295566502,0.60591133,0.000401405,2015
LHW,XIY,4979,36.51524,103.620697,34.438157,108.764819,0.463054187,1.024630542,0.000345826,2015
SZX,KMG,4957,22.63925,113.8106,25.101944,102.929169,0.980295567,0.926108374,0.000726002,2015
CKG,PVG,4954,29.71921,106.641602,31.14337,121.805199,0.985221675,1.004926108,0.000977355,2015
XIY,LHW,4920,34.438157,108.764819,36.51524,103.620697,1.024630542,0.463054187,0.000322267,2015
HAK,SZX,4688,19.934851,110.4589,22.63925,113.8106,0.753694581,0.980295567,0.000376046,2015
PEK,SYX,4684,40.084152,116.592735,18.302891,109.412201,1.295566502,0.532019704,0.000388366,2015
