id,flights,mode,departure,destination,departure_lat,departure_lng,destination_lat,destination_lng,departure_name,destination_name
PEK-LXA,578,departure,PEK,LXA,40.084152,116.592735,29.29777,90.911942,北京首都,拉萨贡嘎
PEK-LZH,569,departure,PEK,LZH,40.084152,116.592735,24.204142,109.398889,北京首都,柳州白莲
PEK-UCB,562,departure,PEK,UCB,40.084152,116.592735,41.127163,113.117591,北京首都,乌兰察布集宁
PEK-ZYI,498,departure,PEK,ZYI,40.084152,116.592735,27.807552,107.250977,北京首都,遵义新舟
PEK-DSN,483,departure,PEK,DSN,40.084152,116.592735,39.495789,109.867412,北京首都,鄂尔多斯伊金霍洛
PEK-MDG,402,departure,PEK,MDG,40.084152,116.592735,44.52,129.559998,北京首都,牡丹江海浪
PEK-NDG,396,departure,PEK,NDG,40.084152,116.592735,47.24241,123.924645,北京首都,齐齐哈尔三家子
PEK-DAX,373,departure,PEK,DAX,40.084152,116.592735,31.135012,107.426888,北京首都,达州河市
PEK-YBP,371,departure,PEK,YBP,40.084152,116.592735,28.797781,104.550293,北京首都,宜宾菜坝
PEK-CHG,365,departure,PEK,CHG,40.084152,116.592735,41.541983,120.44019,北京首都,朝阳
PEK-DAT,364,departure,PEK,DAT,40.084152,116.592735,40.062064,113.486564,北京首都,大同云冈
PEK-HIA,364,departure,PEK,HIA,40.084152,116.592735,33.788792,119.131102,北京首都,淮安涟水
PEK-RIZ,364,departure,PEK,RIZ,40.084152,116.592735,35.402879,119.331808,北京首都,日照山字河
PEK-CIF,363,departure,PEK,CIF,40.084152,116.592735,42.159704,118.846745,北京首都,赤峰玉龙
PEK-HMI,363,departure,PEK,HMI,40.084152,116.592735,42.843005,93.664048,北京首都,哈密
PEK-KRY,362,departure,PEK,KRY,40.084152,116.592735,45.46725,84.956487,北京首都,克拉玛依
PEK-NAO,362,departure,PEK,NAO,40.084152,116.592735,30.793442,106.168002,北京首都,南充高坪
PEK-TNA,362,departure,PEK,TNA,40.084152,116.592735,36.857208,117.215897,北京首都,济南遥墙
PEK-XIL,362,departure,PEK,XIL,40.084152,116.592735,43.913873,115.966246,北京首都,锡林浩特
PEK-HYN,360,departure,PEK,HYN,40.084152,116.592735,28.559344,121.430963,北京首都,台州路桥
PEK-AQG,359,departure,PEK,AQG,40.084152,116.592735,30.580776,117.055412,北京首都,安庆天柱山
PEK-YNZ,359,departure,PEK,YNZ,40.084152,116.592735,33.385555,120.125275,北京首都,盐城南洋
PEK-HLH,358,departure,PEK,HLH,40.084152,116.592735,46.200408,122.007318,北京首都,乌兰浩特依勒力特
PEK-LYI,358,departure,PEK,LYI,40.084152,116.592735,35.046112,118.411667,北京首都,临沂沭埠岭
PEK-GYS,355,departure,PEK,GYS,40.084152,116.592735,32.388634,105.699621,北京首都,广元盘龙
PEK-JDZ,355,departure,PEK,JDZ,40.084152,116.592735,29.336129,117.181706,北京首都,景德镇罗家
PEK-YIC,355,departure,PEK,YIC,40.084152,116.592735,28.101868,114.458484,北京首都,宜春明月山
PEK-DOY,354,departure,PEK,DOY,40.084152,116.592735,37.503772,118.79283,北京首都,东营胜利
PEK-LYG,354,departure,PEK,LYG,40.084152,116.592735,34.571659,118.873596,北京首都,连云港白塔埠
PEK-YTY,353,departure,PEK,YTY,40.084152,116.592735,32.563057,119.718887,北京首都,扬州泰州
PEK-ZHY,353,departure,PEK,ZHY,40.084152,116.592735,37.573264,105.158118,北京首都,中卫沙坡头
PEK-AOG,352,departure,PEK,AOG,40.084152,116.592735,41.106456,122.860605,北京首都,鞍山腾鳌
PEK-ENY,346,departure,PEK,ENY,40.084152,116.592735,36.475595,109.476005,北京首都,延安南泥湾
PEK-DYG,345,departure,PEK,DYG,40.084152,116.592735,29.101431,110.447943,北京首都,张家界荷花国际
PEK-HSN,343,departure,PEK,HSN,40.084152,116.592735,29.932602,122.364994,北京首都,舟山普陀山
PEK-WXN,343,departure,PEK,WXN,40.084152,116.592735,30.799679,108.426949,北京首都,万州五桥
PEK-TGO,341,departure,PEK,TGO,40.084152,116.592735,43.55666,122.199699,北京首都,通辽
PEK-XFN,341,departure,PEK,XFN,40.084152,116.592735,32.150551,112.290802,北京首都,襄阳刘集
PEK-CGD,339,departure,PEK,CGD,40.084152,116.592735,28.91888,111.640198,北京首都,常德桃花源
PEK-JGS,337,departure,PEK,JGS,40.084152,116.592735,26.853279,114.742649,北京首都,井冈山
PEK-ERL,336,departure,PEK,ERL,40.084152,116.592735,43.426714,112.099704,北京首都,二连浩特赛乌素
PEK-RLK,301,departure,PEK,RLK,40.084152,116.592735,40.927157,107.744545,北京首都,巴彦淖尔天吉泰
PEK-WDS,285,departure,PEK,WDS,40.084152,116.592735,32.591667,110.907776,北京首都,十堰武当山
PEK-NBS,278,departure,PEK,NBS,40.084152,116.592735,42.071926,127.609218,北京首都,长白山
PEK-TXN,269,departure,PEK,TXN,40.084152,116.592735,29.730427,118.261088,北京首都,黄山屯溪
PEK-XIC,268,departure,PEK,XIC,40.084152,116.592735,27.983669,102.186692,北京首都,西昌青山
PEK-BHY,264,departure,PEK,BHY,40.084152,116.592735,21.53944,109.2938,北京首都,北海福成
PEK-LFQ,255,departure,PEK,LFQ,40.084152,116.592735,36.131668,111.658058,北京首都,临汾乔李
PEK-WUS,253,departure,PEK,WUS,40.084152,116.592735,27.698972,118.004959,北京首都,武夷山
PEK-NZH,234,departure,PEK,NZH,40.084152,116.592735,49.569633,117.337784,北京首都,满洲里西郊
PEK-DNH,219,departure,PEK,DNH,40.084152,116.592735,40.163706,94.807859,北京首都,敦煌
PEK-KRL,211,departure,PEK,KRL,40.084152,116.592735,41.618911,86.138043,北京首都,库尔勒
PEK-TNH,209,departure,PEK,TNH,40.084152,116.592735,42.032771,125.790631,北京首都,通化三源浦
PEK-JNG,207,departure,PEK,JNG,40.084152,116.592735,35.29364,116.353255,北京首都,济宁曲阜
PEK-ZAT,200,departure,PEK,ZAT,40.084152,116.592735,27.323463,103.757591,北京首都,昭通
PEK-TEN,199,departure,PEK,TEN,40.084152,116.592735,27.882209,109.3144,北京首都,铜仁凤凰
PEK-UYN,190,departure,PEK,UYN,40.084152,116.592735,38.358264,109.599254,北京首都,榆林榆阳
PEK-CIH,180,departure,PEK,CIH,40.084152,116.592735,36.247454,113.131759,北京首都,长治王村
PEK-LPF,178,departure,PEK,LPF,40.084152,116.592735,26.602572,104.972842,北京首都,六盘水月照
PEK-LUM,174,departure,PEK,LUM,40.084152,116.592735,24.399322,98.532412,北京首都,芒市
PEK-TCZ,171,departure,PEK,TCZ,40.084152,116.592735,24.939379,98.482025,北京首都,腾冲驼峰
PEK-BSD,156,departure,PEK,BSD,40.084152,116.592735,25.055182,99.16143,北京首都,保山云瑞
PEK-WEF,156,departure,PEK,WEF,40.084152,116.592735,36.646822,119.122362,北京首都,潍坊国际
PEK-MXZ,152,departure,PEK,MXZ,40.084152,116.592735,24.268999,116.103996,北京首都,梅县长岗岌
PEK-JIQ,151,departure,PEK,JIQ,40.084152,116.592735,29.5175,108.82917,北京首都,黔江武陵山
PEK-FUG,147,departure,PEK,FUG,40.084152,116.592735,32.879154,115.740674,北京首都,阜阳西关
PEK-JXA,138,departure,PEK,JXA,40.084152,116.592735,45.296389,131.199125,北京首都,鸡西兴凯湖
PEK-WMT,137,departure,PEK,WMT,40.084152,116.592735,27.59,106.999725,北京首都,遵义茅台
PEK-DDG,131,departure,PEK,DDG,40.084152,116.592735,40.025551,124.286598,北京首都,丹东浪头
PEK-LZO,84,departure,PEK,LZO,40.084152,116.592735,29.030001,105.470001,北京首都,泸州云龙
PEK-HUZ,44,departure,PEK,HUZ,40.084152,116.592735,23.0497,114.607144,北京首都,惠州平潭
PEK-BAR,9,departure,PEK,BAR,40.084152,116.592735,19.139692,110.457703,北京首都,琼海博鳌
PEK-JGD,3,departure,PEK,JGD,40.084152,116.592735,50.374258,124.124526,北京首都,加格达奇嘎仙
TSN-CAN,4338,departure,TSN,CAN,39.124352,117.3461,23.392429,113.298698,天津滨海,广州白云
TSN-SHA,3265,departure,TSN,SHA,39.124352,117.3461,31.196099,121.339766,天津滨海,上海虹桥
TSN-SZX,3259,departure,TSN,SZX,39.124352,117.3461,22.63925,113.8106,天津滨海,深圳宝安
TSN-CSX,2903,departure,TSN,CSX,39.124352,117.3461,28.196667,113.220833,天津滨海,长沙黄花
TSN-XIY,2884,departure,TSN,XIY,39.124352,117.3461,34.438157,108.764819,天津滨海,西安咸阳
TSN-CTU,2847,departure,TSN,CTU,39.124352,117.3461,30.57852,103.946999,天津滨海,成都双流
TSN-CKG,2688,departure,TSN,CKG,39.124352,117.3461,29.71921,106.641602,天津滨海,重庆江北
TSN-KMG,2677,departure,TSN,KMG,39.124352,117.3461,25.101944,102.929169,天津滨海,昆明长水
TSN-DLC,2660,departure,TSN,DLC,39.124352,117.3461,38.96566,121.538597,天津滨海,大连国际
TSN-XMN,2552,departure,TSN,XMN,39.124352,117.3461,24.544029,118.127701,天津滨海,厦门高崎
TSN-PVG,2499,departure,TSN,PVG,39.124352,117.3461,31.14337,121.805199,天津滨海,上海浦东
TSN-HGH,2345,departure,TSN,HGH,39.124352,117.3461,30.2295,120.434402,天津滨海,杭州萧山
TSN-HRB,2328,departure,TSN,HRB,39.124352,117.3461,45.623402,126.250298,天津滨海,哈尔滨太平
TSN-CGQ,1883,departure,TSN,CGQ,39.124352,117.3461,43.996208,125.685303,天津滨海,长春龙嘉
