node,node_dc,airport_name,airport_lat,airport_lng
XIC,0.062068966,西昌青山,27.983669,102.186692
TLQ,0.059770115,吐鲁番交河,43.03159,89.102437
HMI,0.059770115,哈密哈密,42.843005,93.664048
HLH,0.059770115,乌兰浩特义勒力特,46.200408,122.007318
KJH,0.059770115,凯里黄平,26.972769,107.990529
CIF,0.059770115,赤峰玉龙,42.159704,118.846745
YNJ,0.059770115,延吉朝阳川,42.885662,129.439362
AQG,0.059770115,安庆安庆,30.580776,117.055412
BPE,0.055172414,秦皇岛北戴河,39.667458,119.067308
TCZ,0.055172414,腾冲驼峰,24.939379,98.482025
JDZ,0.055172414,景德镇罗家,29.336129,117.181706
AVA,0.055172414,安顺黄果树,26.25699,105.8774
JIQ,0.050574713,黔江武陵山,29.5175,108.82917
BSD,0.050574713,保山云瑞,25.055182,99.16143
ENY,0.050574713,延安南泥湾,36.475595,109.476005
DQA,0.050574713,大庆萨尔图,46.748684,125.139725
LLF,0.050574713,永州零陵,26.338661,111.610046
IQN,0.050574713,庆阳庆阳,35.802506,107.604593
YKH,0.048275862,营口兰旗,40.540833,122.35833
JMU,0.048275862,佳木斯东郊,46.845709,130.470506
ZQZ,0.045977011,张家口宁远,40.74646,114.955452
WUA,0.045977011,乌海乌海,39.794299,106.805038
WGN,0.045977011,邵阳武冈,26.801329,110.645745
AKU,0.045977011,阿克苏温宿,41.263252,80.293103
JUH,0.045977011,池州九华山,30.738176,117.690942
ZAT,0.045977011,昭通昭通,27.323463,103.757591
XAI,0.045977011,信阳明港,32.539168,114.083454
LZY,0.04137931,林芝米林,29.301565,94.336061
SHF,0.04137931,石河子花园,44.243677,85.895281
RLK,0.04137931,巴彦淖尔天吉泰,40.927157,107.744545
ERL,0.04137931,二连浩特赛乌素,43.426714,112.099704
FUO,0.04137931,佛山沙堤,23.080913,113.075983
YSQ,0.04137931,松原查干湖,44.93954,124.557144
AAT,0.04137931,阿勒泰阿勒泰,47.751758,88.0869
SQD,0.04137931,上饶三清山,28.376586,117.968625
DNH,0.04137931,敦煌敦煌,40.163706,94.807859
NDG,0.03908046,齐齐哈尔三家子,47.24241,123.924645
JNZ,0.036781609,锦州锦州湾,40.936111,121.276947
LUM,0.036781609,德宏芒市,24.399322,98.532412
AXF,0.036781609,阿拉善左旗巴彦浩特,38.833507,105.668991
JUZ,0.036781609,衢州衢州,28.962971,118.901832
JGN,0.036781609,嘉峪关嘉峪关,39.861578,98.341392
DIG,0.036781609,迪庆香格里拉,27.789482,99.679921
HTN,0.036781609,和田和田,37.038007,79.868983
AEB,0.032183908,百色巴马,23.718051,106.964852
TCG,0.032183908,塔城塔城,46.67251,83.346901
LLB,0.032183908,黔南州荔波,25.447687,107.966151
YIE,0.027586207,阿尔山伊尔施,46.200408,122.007318
GYS,0.027586207,广元盘龙,32.388634,105.699621
PZI,0.027586207,攀枝花保安营,26.534456,101.799265
LCX,0.027586207,连城冠豸山,25.673066,116.751646
GXH,0.027586207,甘南夏河,34.82166,102.622647
SQJ,0.027586207,三明沙县,26.422368,117.840008
XIL,0.025287356,锡林浩特锡林浩特,43.913873,115.966246
JIC,0.022988506,金昌金川,38.541918,102.35054
HZH,0.022988506,黎平黎平,26.318645,109.155032
JXA,0.022988506,鸡西兴凯湖,45.296389,131.199125
AOG,0.022988506,鞍山腾鳌,41.106456,122.860605
LNL,0.022988506,陇南成县,33.787803,105.795013
THQ,0.022988506,天水麦积山,34.558077,105.864711
SYM,0.022988506,普洱思茅,22.79102,100.96042
CDE,0.022988506,承德普宁,41.122501,118.073891
ZHY,0.022988506,中卫香山,37.573264,105.158118
CHG,0.020689655,朝阳朝阳,41.541983,120.44019
AHJ,0.018390805,阿坝红原,32.526648,102.359218
NZL,0.018390805,扎兰屯成吉思汗,47.869621,122.768601
BPL,0.018390805,博乐阿拉山口,44.898289,82.303693
BPX,0.018390805,昌都邦达,30.548892,97.111194
GYU,0.018390805,固原六盘山,36.078195,106.222016
QSZ,0.018390805,莎车莎车,38.245878,77.062712
DCY,0.018390805,稻城亚丁,29.312192,100.063381
WNH,0.018390805,文山普者黑,23.556375,104.328079
LDS,0.018390805,伊春林都,27.803333,114.30806
JGD,0.018390805,加格达奇加格达奇,50.374258,124.124526
DDG,0.018390805,丹东浪头,40.025551,124.286598
KCA,0.018390805,库车龟兹,41.679452,82.875522
TNH,0.018390805,通化三源浦,42.032771,125.790631
KGT,0.018390805,甘孜康定,30.140162,101.741137
HUO,0.016091954,霍林河霍林河,45.48492,119.41546
YUS,0.013793103,玉树巴塘,32.839466,97.037788
DBC,0.013793103,白城长安,45.508143,123.026293
NLT,0.013793103,那拉提那拉提,43.433139,83.380912
YZY,0.013793103,张掖甘州,38.805064,100.671783
