id,code_1,code_2,airport_1,airport_2,total_flights,lat_1,lng_1,lat_2,lng_2,region
CTU-PVG,CTU,PVG,成都双流机场,上海浦东机场,12193,30.57852,103.946999,31.14337,121.805199,SW
CTU-SHA,CTU,SHA,成都双流机场,上海虹桥机场,10831,30.57852,103.946999,31.196099,121.339766,SW
CTU-LXA,CTU,LXA,成都双流机场,拉萨贡嘎机场,10149,30.57852,103.946999,29.29777,90.911942,SW
CTU-HGH,CTU,HGH,成都双流机场,杭州萧山机场,10071,30.57852,103.946999,30.2295,120.434402,SW
CTU-NKG,CTU,NKG,成都双流机场,南京禄口机场,8059,30.57852,103.946999,31.742041,118.862,SW
CTU-URC,CTU,URC,成都双流机场,乌鲁木齐地窝堡机场,7784,30.57852,103.946999,43.907101,87.474243,SW
CAN-SHA,CAN,SHA,广州白云机场,上海虹桥机场,24879,23.392429,113.298698,31.196099,121.339766,S
CAN-PEK,CAN,PEK,广州白云机场,北京首都机场,20472,23.392429,113.298698,40.084152,116.592735,S
CAN-CTU,CAN,CTU,广州白云机场,成都双流机场,19290,23.392429,113.298698,30.57852,103.946999,S
CAN-HGH,CAN,HGH,广州白云机场,杭州萧山机场,17652,23.392429,113.298698,30.2295,120.434402,S
CAN-CKG,CAN,CKG,广州白云机场,重庆江北机场,17135,23.392429,113.298698,29.71921,106.641602,S
CAN-NKG,CAN,NKG,广州白云机场,南京禄口机场,14560,23.392429,113.298698,31.742041,118.862,S
CAN-XIY,CAN,XIY,广州白云机场,西安咸阳机场,14252,23.392429,113.298698,34.438157,108.764819,S
CAN-KMG,CAN,KMG,广州白云机场,昆明长水机场,13914,23.392429,113.298698,25.101944,102.929169,S
CAN-HAK,CAN,HAK,广州白云机场,海口美兰机场,12114,23.392429,113.298698,19.934851,110.4589,S
CAN-CGO,CAN,CGO,广州白云机场,郑州新郑机场,9230,23.392429,113.298698,34.519669,113.840797,S
